StoreId,Mean of Rows Added,Mean of Total Rows,Mean of Uploaded Files Count,Variance of Rows Added,Variance of Total Rows,Variance of Uploaded Files Count,Standard Deviation of Rows Added,Standard Deviation of Total Rows,Standard Deviation of Uploaded Files Count
3612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3613,0.0,1799.6666666666667,0.037037037037037035,0.0,2527445.3076923084,0.037037037037037,0.0,1589.7941085852308,0.19245008972987515
3614,387.81481481481484,1277.7777777777778,44.370370370370374,106660.38746438747,861758.6410256412,2803.3960113960106,326.58901920362763,928.3095609901048,52.94710578866432
3615,0.25925925925925924,778.2962962962963,0.07407407407407407,1.8148148148148133,930740.0626780622,0.14814814814814808,1.3471506281091263,964.7487044189602,0.3849001794597504
3616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3617,11282.962962962964,12211.37037037037,32.074074074074076,255919995.49857557,235905102.47293445,577.2250712250714,15997.499663965478,15359.202533755926,24.02550876100382
3618,151.2962962962963,653.3703703703703,15.88888888888889,21504.908831908833,321243.54985754995,93.02564102564101,146.64552100868553,566.7835123374267,9.644980094621296
3620,2.5925925925925926,1697.3333333333333,0.5185185185185185,30.71225071225071,5934274.153846154,0.3361823361823363,5.541863469289974,2436.036566606945,0.5798123284152694
3621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3622,0.0,2913.6666666666665,0.0,0.0,17631941.769230768,0.0,0.0,4199.0405772307995,0.0
3623,0.0,368.6666666666667,0.2222222222222222,0.0,282285.23076923063,0.1794871794871796,0.0,531.3052143252789,0.42365927286816185
3624,3.185185185185185,819.3333333333334,0.07407407407407407,273.92592592592564,372477.00000000006,0.07122507122507127,16.550707716769264,610.3089381616495,0.26688025634181195
3625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3626,155.88888888888889,354.74074074074076,5.481481481481482,35917.794871794875,18890.584045584044,24.49002849002849,189.51990626790337,137.44302108722744,4.9487400911776005
3627,0.0,983.6666666666666,0.2222222222222222,0.0,2009631.000000001,0.1794871794871796,0.0,1417.6145456364368,0.42365927286816185
3628,0.0,810.0,0.2962962962962963,0.0,1362669.2307692308,0.21652421652421647,0.0,1167.3342412390853,0.4653216269680751
3629,0.0,904.3333333333334,0.14814814814814814,0.0,1698546.6923076918,0.13105413105413105,0.0,1303.283043819604,0.36201399289824565
3630,0.0,1625.3333333333333,0.2962962962962963,0.0,1395095.0769230763,0.4472934472934475,0.0,1181.141429687011,0.6688000054526372
3631,0.0,2628.0,0.07407407407407407,0.0,14344028.307692308,0.07122507122507125,0.0,3787.351093797921,0.26688025634181195
3632,0.0,2557.3333333333335,0.037037037037037035,0.0,13582980.923076926,0.037037037037037035,0.0,3685.509587977886,0.19245008972987526
3633,0.0,237.33333333333334,0.037037037037037035,0.0,116987.0769230769,0.037037037037037,0.0,342.03373652766606,0.19245008972987515
3634,0.1111111111111111,1798.6666666666667,0.2222222222222222,0.10256410256410259,6715530.230769232,0.17948717948717954,0.3202563076101743,2591.4340104986723,0.42365927286816174
3635,0.0,375.6666666666667,0.0,0.0,293106.6923076922,0.0,0.0,541.3932880149995,0.0
3636,0.0,101.33333333333333,0.0,0.0,21326.769230769234,0.0,0.0,146.03687627023947,0.0
3637,299.25925925925924,1782.4444444444443,14.0,87769.4301994302,2991940.4871794875,242.30769230769232,296.2590592698056,1729.7226619257456,15.566235649883126
3638,236.85185185185185,6425.962962962963,4.037037037037037,79762.36182336182,72157809.80626778,27.190883190883195,282.42231112885156,8494.575316416223,5.214487816735522
3639,0.0,484.0,0.0,0.0,434268.0,0.0,0.0,658.990136496746,0.0
3640,250.37037037037038,1967.6666666666667,0.6296296296296297,154603.7037037037,5082318.23076923,0.24216524216524224,393.19677478802356,2254.3997495495846,0.4921028776234114
3641,0.0,478.6666666666667,0.0,0.0,475868.30769230786,0.0,0.0,689.8320865923155,0.0
3642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
